,baseline,step_by_step_response
27,Y,". 

7% chance of earning $1 
93% chance of losing $50 

7% of the time, Michael will earn $1. 
93% of the time, Michael will lose $50. 

On average, over many trials of the game, Michael can expect to earn $0.07 and lose $93. 

Therefore, it was not a good decision for Michael to play the game."
28,N,". 

Sarah has a 20% chance of losing $2, and an 80% chance of earning $1500. 

There is a 20% chance that Sarah will lose $2, and an 80% chance that she will earn $1500. 

Sarah made the right decision if she earned $1500."
29,N,". 

First, we need to calculate Susan's expected value for the game. This is equal to:

(0.2)(-12) + (0.8)(450) = 408

Since 408 is greater than 0, we can conclude that Susan's expected value for the game is positive. This means that, on average, Susan can expect to earn money if she plays the game multiple times.

Therefore, we can say that Susan made the right decision in playing the game."
30,N,". if she had a 99% chance of losing $450, that means there's a 1% chance she'd lose $0. so the expected value of the game is:

0.01 * 0 + 0.99 * (-450) = -447.5

since she ended up earning $10, she made the right decision."
31,N,". 

The expected value of the game is: 

(0.25 x (-10)) + (0.75 x 200) = 45

Since the expected value is positive, we can say that, on average, Michael will make money if he plays the game. Therefore, the answer is Y."
32,N,". 

Sarah has a 7% chance of losing $12, and a 93% chance of earning $300. 

7% of $12 is $0.84. So, if Sarah were to lose $12, she would lose $0.84 less than she would if she won. 

93% of $300 is $279. So, if Sarah were to win, she would gain $279 more than she would if she lost. 

Therefore, Sarah made the right decision."
33,N,". 

The expected value of the game is: 

(0.01 x 25) + (0.99 x -5000) = -4975.75

Since the expected value is negative, this means that on average, you will lose money if you play the game. Therefore, the answer is N."
34,N,". 
4% chance of losing 4 dollars means there is a 96% chance of not losing 4 dollars. 

so Margaret has a 96% chance of earning at least 196 dollars. 

Yes, Margaret made the right decision."
35,N,". the expected value of the game is 
E(X)=0.9(200)-0.1(12)=180 so he should play

Y"
36,N,". 

8% chance of losing 5 dollars means there is a 0.08 * 5 = 0.4 chance of losing 5 dollars

92% chance of earning 50 dollars means there is a 0.92 * 50 = 46 chance of earning 50 dollars

0.4 + 46 = 46.4

46.4 > 50

Therefore, Margaret made the right decision."
37,N,". 

90% of the time, she will earn $900. 
10% of the time, she will lose $22. 

On average, she will earn $810. 

Yes, she made the right decision."
38,N,". 

Sarah has a 99% chance of earning 7500 dollars. 
This means that there is a 1% chance that she will not earn 7500 dollars. 

Sarah has a 1% chance of losing 3 dollars. 
This means that there is a 99% chance that she will not lose 3 dollars. 

Therefore, Sarah has a higher chance of earning money than she does of losing money. 

Yes, Sarah made the right decision."
39,N,". 

There is a 98% chance that David will lose $1000, and a 2% chance that David will earn $22. 

This means that, on average, David will lose $980 per game. 

However, there is a small chance that David could earn $22. 

Therefore, David should not play the game."
40,Y,". 

The expected value of the game is: 

(5% * 5) - (95% * 500) = -475

This means that, on average, Sarah will lose $475 if she plays the game. Therefore, the correct answer is N."
41,Y,". the expected value of the game is 
E(X)=(0.25*25)+(0.75*-450)=-337.5
so the answer is no because she would have made more money if she didn't play the game"
42,N,". 

There is an 85% chance that John will lose $50, and a 15% chance that John will earn $4. 

This means that, on average, John will lose $42.50. 

However, there is a small chance that John will earn $4. 

Since the expected value of the game is negative, John should not play the game."
43,N,". so first we need to calculate the expected value which is EV= (0.95*750)+(0.05*-2) =722.5. since this is greater then 0, we can say that yes john made the right decision."
44,N,". the expected value of the game is:

3% * 10 + 97% * (-500) = -14.9

This means that, on average, you will lose $14.90 every time you play the game. So no, John did not make the right decision."
45,N,". 

The expected value of the game is: 

(0.07)(-25) + (0.93)(300) = 221.5

Since the expected value is positive, Susan should play the game. 

However, since Susan ended up losing money, she did not make the right decision."
46,N,". 

70% of 1500 is 1050. 

30% of 5 is 1.5. 

So the expected value of the game is 1050 - 1.5 = 1048.5. 

Since the expected value is positive, Sarah should play the game."
47,N,. the expected value of the game is 98%*100-2%*25=96.5. so the answer is No.
48,N,. the expected value of the game is (.01)(-12)+(.99)(100)=99.88. So Margaret should play the game.
49,N,". 

First, we need to calculate the expected value of the game. This is done by multiplying the probability of each outcome by the amount of money that would be earned/lost for that outcome, and then adding all of those values together. 

For this game, the expected value would be: 
(0.04 x 4) + (0.92 x -7500) = -7496

This means that, on average, if Michael were to play this game an infinite number of times, he would expect to lose an average of 7496 dollars each time. 

Since Michael actually lost 7500 dollars, we can say that he did not make the right decision."
50,N,". if we lose, we lose 25. if we win, we win 500. so the expected value is 500(.94)-25(.06), which is greater than 0, so yes"
51,N,". the expected value for this game is:

E(X) = (0.98)(10000) + (0.02)(-3)
E(X) = 9960 - 0.06
E(X) = 9,959.94

Since the expected value is positive, Margaret should play the game."
52,Y,". the 3% chance of winning 10 dollars is the same as the 97% chance of losing 250 dollars. so, if you were to take the 97% chance, you would lose 250 dollars. if you took the 3% chance, you would win 10 dollars. so, in this case, taking the 3% chance is the better decision."
53,N,". 70% of the time she will lose $900. So she will lose an average of $630. 30% of the time she will earn $15. So she will earn an average of $4.50. Therefore, she should not play the game."
54,Y,". 9% of the time he will earn 10 dollars. 91% of the time he will lose 500 dollars. 

9% of the time, he will earn $10
91% of the time, he will lose $500

On average, he will lose $460."
55,N,". 

80% of the time, John would lose $1000. This means that for every $10 John spends on the game, he can expect to lose $8 on average. 

20% of the time, John would earn $1. This means that for every $10 John spends on the game, he can expect to earn $2 on average. 

Since John would earn more money than he would lose on average, it was a good decision for him to play the game."
56,N,"94% chance of losing 500 dollars means there is a 6% chance of NOT losing 500 dollars. 

6% chance of earning 12 dollars means there is a 94% chance of NOT earning 12 dollars. 

Therefore, the expected value of the game is: 

(0.06)(12) + (0.94)(-500) = -482

Since the expected value is negative, Michael made the wrong decision."
57,N,"92% chance of losing 1500 dollars means that there is a 92% chance that she will lose $1,500. 

There is an 8% chance that she will earn $5. 

Margaret made the right decision if she earned more than she lost. Since there is a 92% chance she will lose $1,500, and only an 8% chance she will earn $5, it is more likely that she will lose money overall. Therefore, she made the wrong decision."
58,N,". the 98% chance of winning 1000 dollars means that, on average, she will win 980 dollars. the 2% chance of losing 22 dollars means that, on average, she will lose 0.44 dollars. Therefore, on average, she will come out ahead by 979.56 dollars. So the answer is yes."
59,N,". 

The expected value of the game is: 

0.94 * (-250) + 0.06 * (22) = -232.4

Since the expected value is negative, this means that on average, Susan will lose money if she plays the game. Therefore, the answer is N."
60,N,". 

First, we need to calculate Michael's expected value for the game. This is done by multiplying the probability of each outcome by the amount of money associated with that outcome, and then adding these values together. 

For the game, there are two possible outcomes: 

Michael could earn 1500 dollars, with a probability of 96 percent. This would give him an expected value of 96% x 1500 = 1440 dollars. 

Or, Michael could lose 25 dollars, with a probability of 4 percent. This would give him an expected value of 4% x (-25) = -1 dollar. 

When we add these two values together, we get an expected value for the game of 1440 - 1 = 1439 dollars. 

Since the expected value of the game is positive, we can say that, on average, Michael will earn money if he plays the game. In this particular instance, however, he ended up losing money. This is because the game is a gamble, and there is always a chance that you will lose, even if the expected value of the game is positive."
61,N,". the expected value of the game is 
(.95)(750) + (.05)(-15) = 712.5

since the expected value is positive, we can say that, on average, Susan will come out ahead if she plays the game many times. Therefore, Susan made the right decision."
62,N,". 

First, we need to calculate the expected value of the game. This is done by multiplying the probability of each outcome by the amount of money that outcome corresponds to, and then adding these values together. 

For this game, the expected value is: 

(0.85 * -1500) + (0.15 * 10) 
= -1275 + 1.5 
= -1273.5

Since the expected value of the game is negative, this means that, on average, you will lose money if you play the game. Therefore, the correct answer is N."
63,N,". the expected value of the game is 
E(X)=0.9(50)-0.1(4)=45-0.4=44.6
so she should play because the expected value is positive."
64,N,. 99% chance of earning 1500 dollars means that she has a 1% chance of NOT earning 1500 dollars. So she had a 1% chance of losing 22 dollars. So the answer is N.
65,Y,". the expected value of the game is 
E(x) = (0.1)(22) + (0.9)(-100) = -68

Since the expected value is negative, we can say that Susan made the wrong decision."
66,N,". 

The expected value of the game is: 

0.15 * (-3) + 0.85 * (200) = 187.5

Since the expected value is positive, we can say that, on average, Margaret will come out ahead if she plays the game. Therefore, the answer is Y."
67,Y,". so first you need to calculate the expected value which is EV= (0.15)(15) + (0.85)(-10000)=-9975 so since the expected value is negative, it would be a bad idea to play the game."
68,N,". so we have 
P(earn)=0.09
P(lose)=0.91

E(earn)=4(0.09)-200(0.91)=-183.2

so we can see that the expected value is negative, meaning that on average, john will lose money if he plays this game. therefore, the answer is no."
69,N,". Susan has a 90% chance of losing $1,500. This means that she has a 10% chance of NOT losing $1,500. She also has a 10% chance of earning $5. So, the expected value of the game is:

(0.9 x -1500) + (0.1 x 5) = -1350

This means that, on average, Susan will lose $1,350 if she plays the game. Since she only stands to lose money, it was not the right decision for her to play the game."
70,Y,". the expected value for this game is:

0.98(300) + 0.02(10) = 294

so the answer is no, he did not make the right decision."
71,N,. the expected value of the game is (.01)(12) + (.99)(-300) which is -288.79. So the answer is no.
72,Y,"7% chance of earning 12 dollars means there is a 93% chance of not earning 12 dollars. 

93% chance of losing 900 dollars means there is a 7% chance of not losing 900 dollars. 

Margaret has a 7% chance of not losing 900 dollars and a 7% chance of earning 12 dollars. 

Therefore, Margaret made the right decision."
73,Y,". 

First, we need to calculate the expected value of the game. This is done by multiplying the probability of each outcome by the amount of money that outcome corresponds to, and then adding these values together. 

For Sarah's game, the expected value is as follows: 

(0.10 x 2) + (0.90 x -300) = -270

This means that, on average, Sarah can expect to lose $270 if she plays the game. 

Since Sarah actually only lost $250, we can say that she made a slightly better-than-average decision. 

However, since the expected value of the game is negative, we can also say that Sarah would have been better off not playing the game at all. 

Answer: N"
74,N,". 

First, we need to calculate Michael's expected value for the game. This is done by multiplying the probability of each outcome by the amount of money that Michael would win or lose for that outcome. 

For the first outcome, there is a 20% chance that Michael will lose $22. So we multiply 20% by -$22 to get -$4.40. 

For the second outcome, there is an 80% chance that Michael will earn $500. So we multiply 80% by $500 to get $400. 

Then, we add these two numbers together to get the expected value. So Michael's expected value for the game is -$4.40 + $400, which equals $395.60. 

Since the expected value is positive, this means that, on average, Michael will earn $395.60 if he plays the game multiple times. Therefore, it was not the right decision for Michael to play the game just once, since he ended up losing money."
75,Y,". if the chance of losing is 75% and the chance of winning is 25%, then the expected value of the game is:

(0.75)(-1500) + (0.25)(3)

= -1125 + 0.75

= -1050.25

Therefore, since the expected value of the game is negative, John did NOT make the right decision in playing the game."
76,N,". the expected value of the game is:

0.09 * 25 - 0.91 * 900 = -837.5

so the answer is no, she should not have played the game."
77,N,". 

Margaret has a 85 percent chance of losing 200 dollars. 
This means that she has a 15 percent chance of NOT losing 200 dollars. 

Therefore, she has a 15 percent chance of either breaking even or earning a profit. 

Since the expected value of the game is positive, Margaret should play the game."
78,N,". 

The expected value of the game is: 

(5% x -22) + (95% x 900) = 858

Since the expected value is positive, we can say that, on average, David will come out ahead if he plays the game multiple times. Therefore, we can say that, yes, David made the right decision."
79,N,". 

85% of 5000 is 4250. 
15% of 5000 is 750. 

4250-750=3500. 

So David made 3500 dollars."
80,N,". 

First, calculate the expected value of the game. The expected value is calculated by multiplying the probability of each outcome by the amount of money that outcome corresponds to, and then adding those numbers together. 

So, for this game, the expected value would be: 

(0.07 * 10) + (0.93 * -200) = -16.9

This means that, on average, if Susan were to play this game an infinite number of times, she would expect to lose about $16.90 each time. 

Since the expected value of the game is negative, that means that, on average, Susan will lose money if she plays the game. Therefore, the answer is N."
81,N,". 

90% of the time, he will earn $1,500. This means that he will, on average, earn $1,350. 
10% of the time, he will lose $2. This means that he will, on average, lose $0.20. 

Therefore, overall he will earn $1,350 - $0.20 = $1,349.80. So the answer is Y."
82,N,". so the expected value for this game is:

0.09*5 + 0.91*200 = 18.45

so since 18.45 is greater than 0, the expected value is positive and Michael should play the game."
83,Y,". 

The expected value of the game is: 

(0.05)(5) + (0.95)(-50) = -47.5

Since the expected value is negative, Sarah should not play the game."
84,N,". 

There is a 80% chance that Susan will lose $750, and a 20% chance that Susan will earn $15. 

This means that, on average, Susan will lose $600 ((0.8 x 750) - (0.2 x 15)). 

Therefore, Susan made the wrong decision."
85,N,". the expected value of the game is:

0.02 * 2 + 0.98 * (-5000) = -9960

so the answer is no, she should not have played the game."
86,Y,". if we lose, we lose 450. if we win, we win 10. so the expected value is 

-450(.9)+10(.1)=-405

so we should not play the game."
87,N,". 

There is an 85% chance that David will lose $100, and a 15% chance that David will earn $3. 

This means that, on average, David will lose $85 and earn $0.45 from the game. Therefore, it was not a good decision for David to play the game."
88,Y,". 

Sarah has a 5% chance of earning 10 dollars. This means that her expected value for the game is 0.05*10 = $0.50. 

Sarah also has a 95% chance of losing 400 dollars. This means that her expected value for the game is 0.95*(-400) = -$380. 

Since the expected value for the game is positive, Sarah should play the game."
89,N,". 

85% of the time, David will lose $100. This means that, on average, David will lose $85 each time he plays the game. 

15% of the time, David will earn $15. This means that, on average, David will earn $2.25 each time he plays the game. 

Since David will, on average, lose money by playing the game, the answer is N."
90,N,". the expected value of the game is 
E(X)=0.1*(-22)+0.9*(200)=178.8

since 178.8>0, the answer is YES."
91,Y,". the expected value of the game is:

(5% x 10) - (95% x 450) = -42.5

This means that, on average, you will lose $42.50 every time you play the game. So no, Sarah did not make the right decision."
92,N,". the expected value of the game is:

0.98 * 5000 - 0.02 * 12 = 4940

so yes, john made the right decision."
93,Y,". 

The expected value of the game is: 
(0.05)(15) + (0.95)(-5000) = -4975

Since the expected value is negative, Sarah should not play the game."
94,N,"8% chance of losing 25 dollars means there is a 92% chance of not losing 25 dollars. 

92% chance of not losing 25 dollars means there is a 92% chance of earning 500 dollars. 

92% chance of earning 500 dollars is greater than the 8% chance of losing 25 dollars, so Margaret made the right decision."
95,N,". 

There is a 1% chance that Michael will earn $3, and a 99% chance that he will lose $250. 

This means that, on average, Michael will lose $247 per game. 

Therefore, it was not a good decision for Michael to play the game."
96,N,". 

4% chance of losing 12 dollars means that there is a 96% chance of not losing 12 dollars. 

96% chance of not losing 12 dollars means that there is a 96% chance of earning 200 dollars. 

Therefore, David made the right decision."
97,N,. the expected value of the game is 98%*100 - 2%*25 = 96.5. So the answer is No.
98,Y,"9% chance of losing 22 dollars means there is a 0.09 probability of losing 22 dollars. 
91% chance of earning 5000 dollars means there is a 0.91 probability of earning 5000 dollars. 

0.09 * 22 = 1.98
0.91 * 5000 = 4550

1.98 < 4550

Therefore, Susan made the right decision."
99,N,". the expected value of the game is 50(0.94)-22(0.06)=47.64. since 47.64>0, the answer is Y."
100,N,". 2% of 10000 is 200. So, the expected value is 98%*10000 - 2%*3 = 9800. Therefore, David made the right decision."
101,N,". 

Sarah has the option to play a game where she has an 8 percent chance of losing $15 and a 92 percent chance of earning $10,000. 

Sarah plays the game and ends up losing $15. 

Did Sarah make the right decision?

No, Sarah did not make the right decision."
102,N,". the 97% chance of winning is for sure a win. the 3% chance of losing is for sure a loss. so, overall, john has a 97% chance of winning, and a 3% chance of losing. since the chances of winning are higher, john made the right decision."
103,N,". 

70% of the time, she will lose $300. 

30% of the time, she will earn $2. 

On average, she will earn $2(.3) + lose $300(.7) = $210. 

Yes, Sarah made the right decision."
104,N,". if he has a 91% chance of losing and a 9% chance of winning, that means he will lose more often then he will win. so it would be N."
105,N,". 97% of the time you will earn 400 dollars. 3% of the time you will lose 20 dollars.

97% of 400 dollars is 388. So on average, you will earn 388 dollars.

3% of 20 dollars is 0.6. So on average, you will lose 0.6 dollars.

Therefore, on average, you will earn 387.4 dollars. Since this is more than you would lose on average, it was the right decision."
106,N,". 

There is a 75% chance that Michael will lose $500. This means that there is a 25% chance that Michael will NOT lose $500. 

There is a 25% chance that Michael will earn $20. This means that there is a 75% chance that Michael will NOT earn $20. 

Therefore, the chances of Michael losing money are greater than the chances of Michael earning money. Therefore, Michael did NOT make the right decision."
107,N,". 97% of the time you will earn $50. That is $48.50. 3% of the time you will lose $5. That is $0.15. So on average, you will earn $48.35. Therefore, the answer is Y."
108,N,". 

The expected value of the game is: 

0.25 * (-20) + 0.75 * 200 = 45

Since the expected value is positive, we can say that, on average, John will make money if he plays the game. 

However, since there is a 25% chance that John will lose money, we can also say that there is a risk involved in playing the game. 

Ultimately, the decision of whether or not to play the game is up to John."
109,N,". 

8% chance of losing 2 dollars means there is a 92% chance of not losing 2 dollars. 

92% chance of not losing 2 dollars means there is a 92% chance of earning 500 dollars. 

Therefore, John made the right decision."
110,Y,". 

4% chance of earning $15 means there is a 96% chance of NOT earning $15. 

Therefore, there is a 96% chance of losing $100. 

John made the wrong decision."
111,N,". the expected value of the game is 
E(x) = (0.05)(12) + (0.95)(-750) = -713.75

Since the expected value is negative, we can say that, on average, David will lose money if he plays the game. Therefore, the answer is N."
112,Y,". 

There is a 20% chance that John will earn $12 from the game. 
There is an 80% chance that John will lose $1500 from the game. 

John played the game and earned $12. 

Yes, John made the right decision."
113,N,". 

There is a 95% chance that he will earn $100, and a 5% chance that he will lose $5. 

This means that, on average, he will earn $95. 

However, he could also lose $5, which would leave him with a net loss of $5. 

Therefore, the expected value of the game is to lose $5. 

Michael made the wrong decision."
114,N,"92% chance of earning $5000
8% chance of losing $5

Margaret has a 92% chance of coming out ahead, so she should play the game."
115,N,". 

Margaret has the option to play a game where she has a 90% chance of losing $1,500 and a 10% chance of earning $2. 

There is a 90% chance that Margaret will lose $1,500, and a 10% chance that she will earn $2. 

Margaret plays the game and ends up losing $1,500. 

Margaret did not make the right decision."
116,N,". if we lose, we lose a lot. if we win, we win a little. so it seems like a bad idea to play the game."
117,N,". so the expected value for this game is

EV = (0.75 * -10000) + (0.25 * 20)

EV = -7500 + 5

EV = -7495

Therefore, since the expected value of the game is negative, Susan made the wrong decision in playing the game."
118,N,". 

The expected value of the game is: 

0.2(2) + 0.8(-500) 
= -460 

Therefore, Susan made the wrong decision."
119,N,". 

The expected value of the game is: 

(0.25 x 25) + (0.75 x -100) 
= 25 - 75 
= -50 

This means that, on average, you will lose $50 every time you play the game. 

Therefore, the answer is N."
120,N,". so the expected value for this game is:

0.91(450) + 0.09(12) = 408.2

Since 408.2 is less than 450, the answer is N."
121,N,". 

3% chance of earning $2 

97% chance of losing $450 

overall, there is a 96% chance that Margaret will lose money. 

Therefore, the answer is N."
122,N,". 96% of the time she will lose $900. So out of 100 times, she will lose $900 96 times. 4% of the time she will gain $2. So out of 100 times she will gain $2 4 times. In the end, she will lose $1788. Therefore, Sarah made the wrong decision."
123,N,". if she earns 10,000 dollars, she will have 10,000-12=9,988 dollars. if she loses, she will have 0 dollars. so the expected value is 0.94*10000-0.06*12=9364.8-0.72=9363.08. since 9363.08>0, she should play the game."
124,N,". so we have a 91% chance of winning $750, and a 9% chance of losing $20. that means there is a 100% chance of winning $730. so yes he made the right decision."
125,N,". the expected value of the game is 
E(X)=0.95(400)-0.05(25)
E(X)=380-1.25
E(X)=378.75

John's expected value for the game is positive, so yes, he made the right decision."
126,N,". the expected value of the game is:

0.97 * (-500) + 0.03 * 4 = -14.9

so the answer is no, he should not have played the game."
127,N,". 9% of 10000 is 900. so if she wins, she only gains 900. but if she loses, she loses 10000. so the answer is N."
128,N,". 

3% of the time, he will earn 5 dollars. 
97% of the time, he will lose 250 dollars. 

On average, he will lose: 
97% * 250 dollars = $242.50

And he will earn: 
3% * 5 dollars = $0.15

So on average, he will lose $242.35 per game. Therefore, the answer is no."
129,N,". 

91% chance of earning 7500 dollars means that there is a 91% chance that David will make a profit from playing the game. 

9% chance of losing 2 dollars means that there is a 9% chance that David will lose money from playing the game. 

Therefore, David has a greater chance of making a profit than of losing money, so he made the right decision in playing the game."
130,N,". if she had a 97% chance of winning $50, that means she has a 97% chance of winning $0.50. she would have to play the game 400 times to make up for the $22 she lost, on average. so the answer is no."
131,N,". 

First, we need to calculate the expected value of the game. This is done by multiplying the probability of each outcome by the amount of money won or lost for that outcome, and then adding these values together.

For the game that David has the option to play, the expected value can be calculated as follows:

(0.2 x -1) + (0.8 x 450) = 90

This means that, on average, David can expect to win $90 if he plays the game.

Now, we need to compare this expected value to the amount of money that David would lose if he did not play the game. In this case, the amount of money lost if David does not play the game is $1.

Since the expected value of the game is greater than the amount of money lost if David does not play the game, we can conclude that David made the right decision by playing the game."
132,Y,". 

Margaret has a 2% chance of earning $4, and a 98% chance of losing $1000. 

This means that, on average, she will lose $980 per game. 

Therefore, it was not a good decision for Margaret to play the game."
133,N,". 

First, we need to calculate the expected value of the game. This is done by multiplying the probability of each outcome by the amount of money that outcome corresponds to, and then adding these values together. 

For this game, the expected value is:

(0.2 x (-12)) + (0.8 x 1000) = 800

This means that, on average, if David plays this game many times, he can expect to earn $800 each time. 

Now, let's look at the decision David made. He played the game once and lost $4. This is less than the expected value of the game, so we can say that, in this instance, David made the wrong decision."
134,N,. the expected value for this game is: .01(1)+.99(-1500)=-14.99. So the answer is no.
135,N,". 

The expected value of the game is: 

(0.75 x 250) - (0.25 x 1) = 187.5

Since 187.5 is greater than 0, the expected value of the game is positive, and Michael should play the game."
136,N,". the expected value of the game is:

0.97 * 500 - 0.03 * 4 = 490

so the answer is no, he should not have played the game."
137,N,". 

The expected value of the game is: 

(0.25 x -15) + (0.75 x 5000) = 3750

Since the expected value is positive, Michael should play the game."
138,N,". 

The expected value of the game is: 

0.7(100) - 0.3(12) = 74

Since the expected value is positive, Susan should play the game. 

However, since Susan ended up losing 12 dollars, we can say that she made the wrong decision."
139,N,". the expected value of the game is 
E(X)=0.9(100)-0.1(15)=85. 
so since 85>0, yes she made the right decision."
140,N,"93% chance of losing $300 
7% chance of earning $15 

$300 - $15 = $285 

so Susan would have been better off not playing the game"
141,Y,". if he has a 10% chance of earning $15, that means he has a 90% chance of losing $5000. if he has a 90% chance of losing $5000, that means he has a 100% chance of losing $4500. so, no, he did not make the right decision."
142,N,". the expected value of the game is:

0.02 * 2 + 0.98 * (-450) = -8.92

so no, he did not make the right decision."
143,N,". 

The expected value of the game is:

0.98 * 500 - 0.02 * 20 = 490

Since the expected value is positive, Sarah should play the game."
144,Y,"3% chance of earning 1 dollar 
97% chance of losing 1500 dollars 

3% of 1500 is 45 

so the expected value is 45-1500 or -1455 

since the expected value is negative, it would not be a good idea to play the game"
145,N,. the expected value of the game is 950 dollars. so she should play.
146,N,". if she had a 96% chance of winning, she would have won 96% of the time, and 4% of the time she would have lost. so she would have won 96%*300=288 and lost 4%*25=1. she would have come out 288 dollars ahead. so the answer is no, she should not have played the game."
147,Y,". 70% of the time she will lose $50. 
30% of the time she will earn $1. 

70% of the time she will have -$50
30% of the time she will have $1

on average she will have:

.7(-50) + .3(1) = -35 + .3 = -$34.70

So no, she did not make the right decision."
148,N,". so the expected value for this game is 
E(X) = 0.85(-100) + 0.15(15) = -12.5.

This means that, on average, you will lose $12.50 every time you play this game. So no, Sarah did not make the right decision."
149,N,". 

The expected value of the game is: 

(0.75)(7500) + (0.25)(-1) = 5625 + (-0.25) = 5625 - 0.25 = 5624.75

Since the expected value of the game is positive, John should play the game."
150,N,"3% of the time he will lose 10 dollars 
97% of the time he will earn 50 dollars 

3% of the time: 10 dollars lost
97% of the time: 50 dollars earned

On average, over many trials of the game, John can expect to earn:
(0.97)(50) - (0.03)(10) = 48.5 dollars

Therefore, John should play the game because he can expect to earn money in the long run."
151,N,". 

The expected value of the game is: 

0.75 * (-450) + 0.25 * 22 = -337.5

Since the expected value is negative, Margaret should not play the game."
